"Doug is the kind of guy to make a table in excel but add up the totals manually (there is a mistake in Superfast’s daily total, though Doug score is correct)",Михаил Багдасаров,1,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Doug's the kind of person who would look at the Queen's crown and tell her majesty about its quirks and features LOL,SuperTrooper 435,,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Dougs the type of guy who stands next to a Gemera and talk about honda.,Blind Nigga Samurai,,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Doug is the type of guy to wear a mask while driving with no one else in the car,Sciron,1,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
"Doug is the kind of guy to make a table in excel but add up the totals manually (there is a mistake in Superfast’s daily total, though Doug score is correct)",Михаил Багдасаров,1,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Doug's the kind of person who would look at the Queen's crown and tell her majesty about its quirks and features LOL,SuperTrooper 435,,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Dougs the type of guy who stands next to a Gemera and talk about honda.,Blind Nigga Samurai,,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Doug's the kind of person who would look at the Queen's crown and tell her majesty about its quirks and features LOL,SuperTrooper 435,,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
"Doug is the kind of guy to make a table in excel but add up the totals manually (there is a mistake in Superfast’s daily total, though Doug score is correct)",Михаил Багдасаров,1,"The Ferrari 812 GTS Is a $500,000 800-Horsepower V12 Monster"
Doug is the type of guy to wear a mask while driving with no one else in the car,Sciron,1,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
"Doug the type of guy to take a ladder and climb on the roof when someone says ""drinks are on the house""",Auto Station,188,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
Doug the type of guy to use a dust mask against COVID,Sebastian Morales,1,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
Doug the type of guy to purchase a movie filming car to shoot action scenes of him and his Defender.,JOHN SCOTTO,,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
"Someone in 2012: Doug's the kind of guy to review a camera car.

2021: Damnit I was joking",d redd,52,"This Porsche Cayenne Is a $500,000 Custom Movie Filming Car"
doug the type of guy to talk as if he's about to burst out laughing at the end of every sentence,Liviu XSA,347,"The 2021 Audi SQ5 Is a Sporty, Fun Compact Luxury SUV"
"comments analysis: 55% fake exhaust, 35% big ""compact"" SUV, 5% doug the type of guy, 5% other",Влад Вулкан,74,"The 2021 Audi SQ5 Is a Sporty, Fun Compact Luxury SUV"
"Doug is the kinda guy who says: ""That car is all-white"".",Jason Shave,,"The 2021 Audi SQ5 Is a Sporty, Fun Compact Luxury SUV"
"Doug the type of guy to call an SQ5 a ""compact SUV""

WUT",DerpDerpDerpityDerp,,"The 2021 Audi SQ5 Is a Sporty, Fun Compact Luxury SUV"
"Doug is exactly the type of guy who would be sitting behind this car at a stop light and say ""Oh this has T-GDI""",Don G.,132,The 2021 Kia Sorento Is Kia's Other 3-Row Midsize SUV
"5:30 Gotta love Doug's laugh and that Doug is the type of guy to describe the back seat as a ""situation""... twice lol",Mitchell Pope,,The 2021 Kia Sorento Is Kia's Other 3-Row Midsize SUV
Doug's the type of guy who buys himself a car for his wifes birthday.,Blind Nigga Samurai,761,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the type of guy to be a fan of a team that doesn’t exist anymore,Joseph Chaney,66,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the type of guy to wake his wife up to tell her he's going to sleep,P_enta,615,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug’s the type of guy to eat his sandwiches vertically,Luqeg.,16,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the type of guy who takes his flat tire to a cobbler,Denis Soldatov,1,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the kinda guy that is amazing to have as a friend :),Mobile Legends,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
"Doug is the type of guy, who tells his visiting guests, that there slippers come in all sizes, so that his house is always nice and clean and that their feet will always be nice n warm.",DoubleDeckerAnton,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the kind of guy that develops when your mum doesn't put away the white bread in time.,simba,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug's the kind of guy who would break in your car just to read the manual 😂,krish,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the best reviewer of every Automobile ever! Thanks Doug for all your hard work and dedication to the Automotive World.,williamfswann,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
Doug is the type of guy that wears a blue shirt and reviews a red car,Abraham Richerd,23,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
"Doug the type of guy to review a car that someone is selling on his website, and talk trash about it.",CamoSquid21YT,,The Mercedes-Benz SLS AMG Roadster Is the Forgotten Mercedes Supercar
